0	0.22	0.06	1.268
1	0.16	-0.06	1.9908
2	-0.08	-0.2	3.5136
3	-0.1	-0.26	4.8424
4	0.04	-0.3	6.9684
5	0.06	-0.34	7.8408
6	-0.04	-0.36	9.4288
7	-0.14	-0.16	11.8548
8	-0.34	-0.1	13.6344
9	-0.6	-0.4	14.92
10	-0.62	-0.4	15.3556
11	-0.66	-0.42	17.308
12	-0.62	-0.18	19.5432
13	-0.6	-0.12	21.6656
14	-0.66	-0.3	20.9544
15	-0.6	-0.3	22.45
16	-0.78	-0.2	24.6516
17	-0.68	-0.16	25.472
18	-0.66	-0.26	26.9768
19	-0.76	-0.3	28.6324
20	-0.72	-0.4	31.2016
21	-0.86	-0.28	33.922
22	-1	-0.36	34.4704
23	-1.08	-0.3	33.5636
24	-1.18	-0.3	35.9176
25	-1.36	-0.44	38.1568
26	-1.38	-0.48	41.7252
27	-1.36	-0.58	44.354
28	-1.32	-0.54	45.866
29	-1.32	-0.7	43.8276
30	-1.28	-0.5	46.4516
31	-1.24	-0.48	48.832
32	-1.26	-0.22	49.084
33	-1.42	-0.16	49.578
34	-1.5	-0.08	52.7236
35	-1.3	-0.06	53.6664
36	-1.44	-0.1	56.9364
37	-1.54	-0.12	57.074
38	-1.6	-0.12	58.4656
39	-1.78	-0.18	62.5592
40	-1.74	-0.3	63.1624
41	-1.68	-0.32	63.2752
42	-1.48	-0.3	65.4596
43	-1.54	-0.38	69.164
44	-1.48	-0.38	72.0052
45	-1.4	-0.46	72.9284
46	-1.48	-0.56	74.376
47	-1.4	-0.5	74.13
48	-1.7	-0.64	78.6804
49	-1.74	-0.52	83.522
50	-1.58	-0.52	86.6132
51	-1.44	-0.54	88.2948
52	-1.64	-0.54	89.1988
53	-1.58	-0.66	90.388
54	-1.48	-0.72	94.3312
55	-1.42	-0.7	92.1336
56	-1.54	-0.78	93.06
57	-1.38	-0.76	94.058
58	-1.48	-0.74	98.082
59	-1.36	-0.8	99.3504
60	-1.5	-0.88	102.316
61	-1.54	-0.94	99.3048
62	-1.48	-0.84	103.664
63	-1.48	-0.94	102.546
64	-1.66	-0.84	108.039
65	-1.7	-0.68	108.788
66	-1.28	-0.58	106.125
67	-1.22	-0.62	108.247
68	-1.12	-0.6	113.866
69	-1.24	-0.64	119.173
70	-1.28	-0.66	122.066
71	-1.16	-0.8	127.614
72	-1.26	-0.92	133.346
73	-1.14	-0.94	133.697
74	-1.28	-0.78	130.733
75	-1.36	-0.82	134.418
76	-1.38	-0.68	140.293
77	-1.32	-0.68	144.475
78	-1.4	-0.68	145.858
79	-1.32	-0.68	147.995
80	-1.22	-0.82	149.999
81	-1.18	-0.68	148.645
82	-1.08	-0.8	151.114
83	-1.08	-0.7	156.004
84	-1.02	-0.76	155.842
85	-1.14	-0.76	159.063
86	-1.06	-0.7	159.186
87	-1.32	-0.76	161.92
88	-1.38	-0.66	164.1
89	-1.46	-0.72	164.81
90	-1.56	-0.48	168.616
91	-1.62	-0.36	169.986
92	-1.5	-0.3	176.22
93	-1.44	-0.22	181.898
94	-1.42	-0.24	181.666
95	-1.42	-0.24	179.306
96	-1.58	-0.2	183.724
97	-1.54	0.04	182.367
98	-1.46	0.04	180.127
99	-1.54	0.08	184.402
